UnitName_CN,Symbol,Type,ValueRange,PlanckTimeMultiplier,BaseRate,ExactMetricTime
基秒（普朗克时间）,qt_P,进位,0~999,1e0,1000,5.391247e-44 s
尘秒,qcs,进位,0~999,1e3,1000,5.391247e-41 s
渺秒,qis,进位,0~999,1e6,1000,5.391247e-38 s
原秒,qats,进位,0~999,1e9,1000,5.391247e-35 s
亏秒,qks,进位,0~999,1e12,1000,5.391247e-32 s
柔秒,qrs,进位,0~999,1e15,1000,5.391247e-29 s
幺秒,qys,进位,0~999,1e18,1000,5.391247e-26 s
仄秒,qzres,进位,0~999,1e21,1000,5.391247e-23 s
阿秒,qas,进位,0~999,1e24,1000,5.391247e-20 s
飞秒,qfs,进位,0~999,1e27,1000,5.391247e-17 s
皮秒,qps,进位,0~999,1e30,1000,5.391247e-14 s
纳秒,qns,进位,0~9999,1e33,10000,5.391247e-11 s
微秒,qμs,进位,0~999,1e37,1000,5.391247e-7 s
毫秒,qms,进位,0~999,1e40,1000,5.391247e-4 s
普朗克秒,qs,进位,0~99,1e43,100,5.391247e-1 s
分钟,qmin,进位,0~999,1e45,1000,5.391247e1 s
小时,qh,进位,0~9,1e48,10,5.391247e4 s
工作周,qg,序号,1~10,1e49,10,5.391247e5 s
季度,qq,序号,1~10,1e50,10,5.391247e6 s
纪年,qy,序号,1~1000,1e51,1000,5.391247e7 s
千世年,qqc,序号,1~1000,1e54,1000,5.391247e10 s
文明世,qwc,序号,1~1000,1e57,1000,5.391247e13 s
行星世,qcec,序号,1~1000,1e60,1000,5.391247e16 s
宙世,qzc,序号,1~1000,1e63,1000,5.391247e19 s
恒世,qhc,序号,1~1000,1e66,1000,5.391247e22 s
极世,qjc,序号,1~1000,1e69,1000,5.391247e25 s
玄世,qohc,序号,1~1000,1e72,1000,5.391247e28 s
虚世,qomgc,序号,1~∞,1e75,—,5.391247e31 s
